0.100 	 2.000 	 0.000 	 0.000	 0.667	 
0.200 	 2.000 	 0.000 	 0.000	 0.667	 
0.300 	 2.000 	 0.000 	 0.000	 0.667	 
0.400 	 2.000 	 0.000 	 0.005	 0.667	 
0.500 	 2.000 	 0.001 	 0.022	 0.667	 
0.600 	 1.999 	 0.002 	 0.057	 0.667	 
0.700 	 1.997 	 0.005 	 0.114	 0.667	 
0.800 	 1.993 	 0.010 	 0.178	 0.667	 
0.900 	 1.965 	 3.952 	 0.253	 0.667	 
1.000 	 1.842 	 92.189	 0.357	 0.666	 
1.100 	 1.306 	 889.25  0.444	 0.643	 
1.200 	 0.432 	 667.30	 0.579	 0.485	 
1.300 	 0.060 	 30.31 	 0.761	 0.392	 
1.400 	 0.045 	 20.08 	 1.064	 0.248	 
1.500 	 0.047 	 21.54 	 1.295	 0.231	 
1.600 	 0.046 	 21.09 	 1.481	 0.169	 
1.700 	 0.040 	 16.26 	 1.518	 0.094	 
1.800 	 0.039 	 13.60 	 1.662	 0.168	 
1.900 	 0.032 	 9.317 	 1.577	 0.036	 
