0.100 	 2.000 	 0.000 	 0.000	 0.667	 
0.200 	 2.000 	 0.000 	 0.000	 0.667	 
0.300 	 2.000 	 0.000 	 0.000	 0.667	 
0.400 	 2.000 	 0.000 	 0.004	 0.667	 
0.500 	 2.000 	 0.001 	 0.022	 0.667	 
0.600 	 1.999 	 0.002 	 0.058	 0.667	 
0.700 	 1.997 	 0.005 	 0.111	 0.667	 
0.800 	 1.993 	 0.009 	 0.180	 0.667	 
0.900 	 1.905 	 2.803 	 0.252	 0.666	 
1.000 	 1.759 	 8.176 	 0.341	 0.665	 
1.100 	 1.093 	 77.920 	 0.424	 0.613	 
1.200 	 0.451 	 39.779 	 0.527	 0.540	 
1.300 	 0.120 	 9.791 	 0.664	 0.064	 


