0.100 	 2.000 	 0.000 	 0.000	 0.667	 
0.200 	 2.000 	 0.000 	 0.000	 0.667	 
0.300 	 2.000 	 0.000 	 0.000	 0.667	 
0.400 	 2.000 	 0.000 	 0.005	 0.667	 
0.500 	 2.000 	 0.001 	 0.020	 0.667	 
0.600 	 1.999 	 0.002 	 0.058	 0.667	 
0.700 	 1.996 	 0.005 	 0.117	 0.667	 
0.800 	 1.993 	 0.009 	 0.177	 0.667	 
0.900 	 1.850 	 1.100 	 0.265	 0.661	 
1.000 	 1.617 	 1.658 	 0.322	 0.655	 
1.100 	 0.503 	 3.469 	 0.427	 0.514	 
1.200 	 0.218 	 1.519 	 0.509	 0.182	 
1.300 	 0.351 	 3.646 	 0.586	 0.083	 
1.400 	 0.298 	 2.809 	 0.684	 0.012	 
1.500 	 0.434 	 4.024 	 0.774	 0.221	 
1.600 	 0.428 	 3.461 	 0.866	 0.230	 
1.700 	 0.374 	 3.035 	 0.940	 -0.058	 
1.800 	 0.382 	 2.835 	 0.989	 0.046	 
1.900 	 0.349 	 2.538 	 1.084	 -0.094	 
