0.100 	 2.000 	 0.000 	 0.000	 0.667	 
0.200 	 2.000 	 0.000 	 0.000	 0.667	 
0.300 	 2.000 	 0.000 	 0.001	 0.667	 
0.400 	 2.000 	 0.000 	 0.004	 0.667	 
0.500 	 2.000 	 0.001 	 0.022	 0.667	 
0.600 	 1.999 	 0.002 	 0.056	 0.667	 
0.700 	 1.997 	 0.005 	 0.112	 0.667	 
0.800 	 1.993 	 0.009 	 0.179	 0.667	 
0.900 	 1.987 	 0.016 	 0.256	 0.667	 
1.000 	 1.850 	 4.198 	 0.333	 0.664	 
1.100 	 1.185 	 25.586  0.419	 0.621	 
1.200 	 0.354 	 10.246  0.514	 0.519	 
1.300 	 0.140 	 3.630 	 0.621	 0.254	  

